site,pv_kwp,battery_kwh,price_EUR_per_kg,operating_EUR_per_day,capital_EUR_per_day,first_pack_EUR_per_day,replacement_EUR_per_day,net_EUR_per_day,capex_EUR,capex_pv_EUR,capex_process_EUR,efc_per_day,dod_stress,battery_life_years,seasons,season_min,season_max,cash_EUR_per_day,payback_years
Seville,300.0,500.0,2.0,85.50916401784181,497.6118399252562,480.6622697377778,16.94957018747839,-412.1026759074144,1514903.2459634205,210000.0,1179903.2459634205,0.0615292204902622,2.0635906827583144,12.088379081531883,4,59.88819605970284,102.41804104112441,-37.264799324793685,inf
Seville,300.0,500.0,3.0,132.47687142757252,497.61333289566875,480.6622697377778,16.951063157890935,-365.13646146809623,1514903.2459634205,210000.0,1179903.2459634205,0.0612419137747555,2.1021671347184885,12.072668542497318,4,93.32103220599454,158.14633909976655,9.694789654255231,inf
Seville,300.0,500.0,4.0,179.60293029530882,497.60822310601003,480.6622697377778,16.945953368232196,-318.0052928107012,1514903.2459634205,210000.0,1179903.2459634205,0.061373802693128074,2.0011262413403696,12.125422817793687,4,126.87833680137472,214.07347873999873,56.824575309371426,inf
Seville,300.0,500.0,5.0,226.7990864813658,497.58484841887025,480.6622697377778,16.92257868109243,-270.78576193750445,1514903.2459634205,210000.0,1179903.2459634205,0.061359412765416316,1.6202628014970921,12.338374833585748,4,160.54131841680766,270.048734591252,104.02032487899956,inf
Seville,300.0,500.0,6.0,274.01184240127105,497.5840955677019,480.6622697377778,16.921825829924124,-223.5722531664309,1514903.2459634205,210000.0,1179903.2459634205,0.061469495843927774,1.6063655344144976,12.34463746448077,4,194.22602719558546,326.09907026423764,151.23619141830173,inf
Seville,700.0,500.0,2.0,182.42713389369942,586.3615941747519,569.5032144550007,16.858379719751113,-403.9344602810524,1794903.2459634205,490000.0,1179903.2459634205,0.43463847482474716,1.035301071107127,9.768116113436518,4,132.3315037031782,216.76949507519856,47.182426382327975,inf
Seville,700.0,500.0,3.0,287.1253784076273,586.3145434919877,569.5032144550007,16.811329036986983,-299.1891650843604,1794903.2459634205,490000.0,1179903.2459634205,0.47378108967795646,1.0314373458810624,9.548566668129148,4,207.40811227734102,341.25940170920586,152.98672442107033,inf
Seville,700.0,500.0,4.0,392.2591402582347,586.2964161793634,569.5032144550007,16.793201724362657,-194.03727592112867,1794903.2459634205,490000.0,1179903.2459634205,0.4801954305512788,1.0464499844941142,9.47249741410963,4,282.5616783529425,466.86340420342583,258.3017364093833,inf
Seville,700.0,500.0,5.0,497.35664900742916,586.2741887421894,569.5032144550007,16.77097428718867,-88.91753973476023,1794903.2459634205,490000.0,1179903.2459634205,0.4827753982369148,1.0746484243710985,9.384280985275447,4,357.7574090321626,592.1696458110048,363.47214734876883,inf
Seville,700.0,500.0,6.0,602.5493885348753,586.2325041910011,569.5032144550007,16.72928973600041,16.316884343874207,1794903.2459634205,490000.0,1179903.2459634205,0.4857042662672387,1.1279446035073748,9.231275676967504,4,432.9919574655329,717.7299281957253,468.74764794930127,20.666666666666643
Seville,1100.0,500.0,2.0,209.12847438453412,677.7375337714816,658.3441591722237,19.393374599257875,-468.6090593869475,2074903.2459634205,770000.0,1179903.2459634205,0.7860431745596441,1.358024554301391,7.146046788459802,4,162.11183310771284,244.826585168142,60.79971674085152,inf
Seville,1100.0,500.0,3.0,332.7469095205791,677.5582734602746,658.3441591722237,19.214114288050798,-344.8113639396954,2074903.2459634205,770000.0,1179903.2459634205,0.8436797115681691,1.3956628674952878,6.819850026303156,4,261.41764158700664,386.0945491361752,186.0467884704262,inf
Seville,1100.0,500.0,4.0,457.0143974950033,677.5202054813951,658.3441591722237,19.17604630917141,-220.5058079863918,2074903.2459634205,770000.0,1179903.2459634205,0.8523063828737655,1.4074680205413592,6.757884579023543,4,360.85779138002493,527.5911485053869,310.55804044070896,inf
Seville,1100.0,500.0,5.0,580.9920205102519,677.5192675022654,658.3441591722237,19.175108330041652,-96.52724699201347,2074903.2459634205,770000.0,1179903.2459634205,0.853515546327194,1.406106834955093,6.756384502397986,4,460.22205507502315,669.0747876160242,434.56983080795374,inf
Seville,1100.0,500.0,6.0,704.9933399376497,677.5173826155656,658.3441591722237,19.173223443341787,27.47595732208418,2074903.2459634205,770000.0,1179903.2459634205,0.8544964221752251,1.405762098703994,6.753373836833131,4,559.6013899703096,810.5593521073603,558.5988668606508,19.583333333333325
Seville,1500.0,500.0,2.0,219.9519945773872,766.5288271184463,747.1851038894467,19.343723228999597,-546.576832541059,2354903.2459634207,1050000.0,1179903.2459634205,0.8065112570397488,1.3627821012857377,7.049110903358474,4,174.4025997351574,256.6743432389892,49.18790525371162,inf
Seville,1500.0,500.0,3.0,349.3665898915057,766.3985544175268,747.1851038894467,19.213450528080045,-417.03196452602106,2354903.2459634207,1050000.0,1179903.2459634205,0.852424257366042,1.38180133381495,6.818750903626305,4,279.4493696569499,403.92190417277624,179.89986498858084,inf
Seville,1500.0,500.0,4.0,478.7700226292331,766.3980520512036,747.1851038894467,19.212948161756916,-287.62802942197055,2354903.2459634207,1050000.0,1179903.2459634205,0.8525785155156282,1.3818961375815542,6.817919486989854,4,384.6761004713515,551.3831901595087,309.3076566014299,inf
Seville,1500.0,500.0,5.0,608.1761139754863,766.3973317239555,747.1851038894467,19.212227834508834,-158.22121774846931,2354903.2459634207,1050000.0,1179903.2459634205,0.8526366873885785,1.3822961062034334,6.816728025913433,4,489.9226901542259,698.8396542057787,438.71539171127324,inf
