battery_kwh,controller,season,days,ch4_kg_per_day,lcom,curtail_frac,night_share,efc_per_day,soc_min,soc_max,limiting,bus_trips,bus_interventions,shed_kwh,unserved_kwh,utilisation,capex_eur,operating_margin_eur,wall_s,planned_eur,realised_eur,plan_bias,windows,divergence_rms,duty_contactor,duty_night_contactor,starts_contactor,uptime_h_contactor,offdraw_kW_contactor,idle_kWh_contactor,duty_calciner,duty_night_calciner,starts_calciner,uptime_h_calciner,offdraw_kW_calciner,idle_kWh_calciner,duty_electrolyser,duty_night_electrolyser,starts_electrolyser,uptime_h_electrolyser,offdraw_kW_electrolyser,idle_kWh_electrolyser,duty_sabatier,duty_night_sabatier,starts_sabatier,uptime_h_sabatier,offdraw_kW_sabatier,idle_kWh_sabatier,kiln_hot_h,kiln_T_max,nmpc_used,nmpc_failed,nmpc_iterations,nmpc_solve_time_s,nmpc_predicted_shed_kWh,edit_mean,edit_max,bind_bus_balance,bind_band_ceiling,bind_rate_limit,bind_state_box,bind_battery.soc.lo,bind_battery.soc.hi,bind_solids.n_cao.lo,bind_solids.n_cao.hi,bind_solids.n_caco3.lo,bind_solids.n_caco3.hi,bind_calciner.temperature_K.lo,bind_calciner.temperature_K.hi,bind_electrolyser.temperature_K.lo,bind_electrolyser.temperature_K.hi,bind_gas.n_h2.lo,bind_gas.n_h2.hi,bind_gas.n_co2.lo,bind_gas.n_co2.hi,bind_water.mass_kg.lo,bind_water.mass_kg.hi,bind_sabatier.temperature_K.lo,bind_sabatier.temperature_K.hi,cf_bus_deficit_W,cf_bus_deficit_W_frac
100.0,dispatch,winter,7.0,47.46072103282352,13.306635787656093,0.2999565560835173,0.0,0.1774347423630093,0.16365787620880526,0.9499986810556474,reactor capacity,5427,8038,4096.012489550427,0.030055906563799164,0.2208298251742679,1974903.2459634205,1816.5056988764973,328.59597409982234,3713.9350108250364,400.51738431145105,-0.8921582140925838,55,0.12416960063239561,0.4322420634920635,0.10737581535373808,1.4285714285714286,7.261666666666666,8.244614546626394e-10,6.459999987396807,0.45396825396825397,0.13045659809332663,1.5714285714285714,6.933333333333334,6.183460909969796e-09,65.34999987761816,0.3713293650793651,0.0,1.4285714285714286,6.238333333333333,3.091730454984898e-08,164.24999966145555,0.37589285714285714,0.0,1.1428571428571428,7.89375,6.801807000966775e-08,20.62965063967092,27.766666666666666,1243.9871539629946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,dispatch,spring,7.0,67.4959083583037,9.369278470756532,0.4155005371335127,0.0001464120659603019,0.2714956653620994,0.3496485803839792,0.9078520897506429,reactor capacity,4508,6978,4371.455924175183,4.597443660986755e-06,0.3165517514028753,1974903.2459634205,2581.948457548217,262.7388109001331,3831.3240198021335,1678.4747941761143,-0.5619073757528871,55,0.1339545140686308,0.4895833333333333,0.0,1.0,11.75,8.244614546626394e-10,3.259999993625745,0.5403769841269841,0.06548788474132286,1.0,12.969047619047618,6.183460909969796e-09,90.00030292107859,0.44742063492063494,0.0,1.0,10.738095238095239,3.091730454984898e-08,86.74999982119493,0.5058531746031746,0.0013097576948264572,1.2857142857142858,9.442592592592593,6.801807000966775e-08,82.4557341443746,45.1,1237.0739434248621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,dispatch,summer,7.0,79.35994845656462,7.955618272662223,0.3917458685044487,0.0,0.08425812659074353,0.4094767053867993,0.9495803275798419,reactor capacity,4336,6699,4752.247561411583,4.981198785983072e-06,0.3344600727677788,1974903.2459634205,3045.902302669602,270.6642204001546,4653.684450506214,2061.1140533715966,-0.5571005994728768,55,0.1342485771209725,0.5353174603174603,0.0,1.0,12.847619047619048,8.244614546626394e-10,3.4066666600905613,0.5528769841269842,0.0,1.0,13.26904761904762,6.183460909969796e-09,83.0547819644429,0.5091269841269841,0.0,1.0,12.219047619047618,3.091730454984898e-08,179.49999963002298,0.5532738095238096,0.0,1.0,13.278571428571428,6.801807000966775e-08,28.324536794858687,51.233333333333334,1212.355500785993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,dispatch,autumn,7.0,58.96299983617295,10.714380477857818,0.375266649563123,2.506243816964068e-05,0.17770057018581856,0.40652091170453164,0.9489251403467593,reactor capacity,4785,7391,4085.2237901319504,3.498933337080719e-06,0.2812226324995139,1974903.2459634205,2257.89578507058,220.36053480021656,4142.209574819521,799.6418629800104,-0.8069528234783119,55,0.1355012895591082,0.4125,0.0,1.2857142857142858,7.699999999999999,8.244614546626394e-10,3.8399999923937735,0.5133928571428571,0.13894504686638487,1.7142857142857142,7.1875,6.183460909969796e-09,104.8747285940413,0.4399801587301587,0.006432641058628928,1.7142857142857142,6.159722222222222,3.091730454984898e-08,173.7499996418746,0.4390873015873016,0.007535379525822459,1.0,10.538095238095238,6.801807000966775e-08,19.695157651565776,37.3,1254.7867695879675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,dispatch-nmpc,winter,7.0,52.482570339170444,12.075046179936631,0.2975936785024235,0.11456200580904188,0.5815919625252715,0.09998763958009295,0.9445184160442858,solar,4310,5956,2242.244736913271,0.07487168657037833,0.22227150002266874,1974903.2459634205,1993.998782592239,724.8840042999946,1836.197037744731,-2064.3985729694027,-2.124279437627759,55,0.07133010229218598,0.46517857142857144,0.15771868205385517,4.0,2.7910714285714286,8.244614546626394e-10,3.4533333267361965,0.48075396825396827,0.22729553437029604,5.571428571428571,2.070940170940171,6.183460909969796e-09,66.28261784125799,0.38720238095238096,0.028432848302391706,2.0,4.646428571428571,3.091730454984898e-08,183.74999962126304,0.47371031746031744,0.15972570663990635,4.0,2.8422619047619047,6.801807000966775e-08,26.632605982688762,31.316666666666666,1257.0381971093902,1.0,0.0,22.8125,0.37497489998950473,1.2637834683635806e-09,0.22111784542213545,1.136480514768146,10.756313147989331,70.60990299785988,19.88408581342363,0.01087964894119933,0.0007071675898845972,0.0002728908203254083,0.00014705189112764017,0.00037885783386646293,0.00037885783387181754,0.00014705189112193193,0.00025471066905573004,0.0008206738981273696,0.0008707190128497065,0.0015397527540901286,0.00015134063265833552,0.0019047780703395469,0.0008224538311396138,0.0010971009136474066,0.00018773437096543855,0.0002429277461830706,0.0006756327337369539,0.0002799464482081721,33013.95666021272,1.0
100.0,dispatch-nmpc,spring,7.0,83.89570830645937,7.5590414081094695,0.39563499439944194,0.15085153555959274,0.6028718523455697,0.09999972217459852,0.9187165605705397,H2 buffer full,2897,4636,1503.1274627985517,0.008956268210529049,0.3277749206633857,1974903.2459634205,3200.399551467751,551.1522987000644,3148.936148700264,-706.8527112655639,-1.2244734976786749,55,0.08807004270305181,0.47232142857142856,0.0021829294913774284,1.2857142857142858,8.816666666666666,8.244614546626394e-10,0.6733333319824076,0.5749007936507936,0.1899148657498363,7.857142857142857,1.7560606060606059,6.183460909969796e-09,99.22097938730776,0.5196428571428572,0.03470857891290111,1.7142857142857142,7.2749999999999995,3.091730454984898e-08,157.74999967485303,0.645436507936508,0.30233573455577384,3.857142857142857,4.01604938271605,6.801807000966775e-08,0.26666666611702566,53.38333333333333,1238.47966310131,0.9995039682539683,0.000496031746031746,23.73313492063492,0.32130254622519255,1.4821829021874812e-09,0.13006159009974305,0.9326487567259218,6.548653707928587,23.904191048303193,23.849101590004796,0.013977049377525343,0.0006876685426931109,0.00021514232077332395,0.00017698084479950943,0.0004243447238793509,0.0004243447238793484,0.00017698084479950995,0.00026360779968169436,0.0009268205041077169,0.0007171025889211852,0.0022112271113728173,0.00015563443036814843,0.0044992082758534705,0.0003059439581442356,0.0013289772795002897,0.00027293913624252804,0.0002509261708165148,0.0005765590125851686,0.00036264110910742066,27245.336526735882,1.0
100.0,dispatch-nmpc,summer,7.0,90.74024258000368,6.992412363463539,0.37155046849960255,0.1366652845126682,0.6542310051993886,0.0999843997830917,0.9467844719941664,solar,2330,4453,2047.991383443907,3.179177980158373e-06,0.3457954980177108,1974903.2459634205,3461.544015856406,580.2944351001643,3349.637450290988,-326.15884326982297,-1.0973713866381238,55,0.09179162782145543,0.5101190476190476,0.04017180394138454,1.5714285714285714,7.790909090909091,8.244614546626394e-10,1.2266666686628034,0.6181547619047619,0.26427488630621526,9.0,1.6484126984126983,6.183460909969796e-09,116.09418366676599,0.5472222222222223,0.046235472460838804,2.2857142857142856,5.745833333333334,3.091730454984898e-08,197.24999959343748,0.7070436507936508,0.3658413340070743,2.857142857142857,5.939166666666667,6.801807000966775e-08,72.23417491464465,51.71666666666667,1238.186855189711,1.0,0.0,23.89980158730159,0.32332156875285334,1.5635010249095792e-09,0.111603179235636,0.7372043760881515,5.644898484753479,79.54436080950674,26.865859939430194,0.01446791025630769,0.0006875989451165621,0.000348644859396684,0.00021145698050080094,0.0005031539185985667,0.0005031539186076657,0.0002114569804892105,0.00030617786608041396,0.001039324022813839,0.0007955061912870453,0.002459650595308878,0.00019385782489908139,0.0042527216414850015,0.0003551395574099284,0.0010063561653590961,0.0003208701553225334,0.00029087712737529725,0.0005601083176792862,0.00042185518857780117,25765.856349579135,1.0
100.0,dispatch-nmpc,autumn,7.0,69.22124686461298,9.164867458063904,0.3623330000607362,0.13469778462852572,0.6667659191108717,0.10109460840354068,0.9471213528872522,solar,4358,5927,1916.352956755702,0.013113594928634191,0.28766807702907987,1974903.2459634205,2633.701942659902,541.808311200235,2397.472034821428,-3549.50388521826,-2.480519411139926,55,0.07797204992031932,0.4054563492063492,0.0090056974820805,1.5714285714285714,6.1924242424242415,8.244614546626394e-10,0.39333333254572656,0.4842261904761905,0.11431722109906267,12.857142857142858,0.9038888888888889,6.183460909969796e-09,86.07228373178683,0.439484126984127,0.04447711817680573,3.2857142857142856,3.2101449275362315,3.091730454984898e-08,131.99999972792776,0.593452380952381,0.26723028854989894,4.857142857142857,2.932352941176471,6.801807000966775e-08,16.95153515983668,45.55,1231.4887960721321,0.9920634920634921,0.007936507936507936,24.860119047619047,0.3235238593155777,1.3869238306401242e-09,0.19681921550202153,1.0738206283423752,10.24933926889839,42.21759608621301,24.851374037486178,0.01255152229240747,0.0007119219143826336,0.0002900831565830823,0.0001614389509252862,0.00039812466699958206,0.0003981246667453801,0.00016143895121360202,0.00025644186679129905,0.0008235543740987265,0.0006697774827657631,0.001971894257370999,0.00014128106047022886,0.004005516150295847,0.0002998174390135592,0.0009337811983296104,0.00023226187049438409,0.0002427296094514494,0.0005208750928666541,0.0003324595836093833,32245.28494917364,1.0
250.0,dispatch,winter,7.0,53.223989725497056,12.259859104787903,0.2867891741243393,0.16716147937764128,0.35135262107414195,0.20356226766598717,0.9499986819830404,reactor capacity,5157,7659,4019.2629421339784,0.016102948760129493,0.22455824797854312,2012403.2459634205,2010.5634099279102,394.32098540011793,3464.4397541640274,993.9674467020653,-0.7130943190721148,55,0.09445496269717689,0.4005952380952381,0.09081786251881585,1.5714285714285714,6.118181818181818,8.244614546626394e-10,3.7199999930708194,0.45267857142857143,0.1257735407258739,1.5714285714285714,6.913636363636363,6.183460909969796e-09,69.34547864517457,0.4282738095238095,0.0960026760327814,1.1428571428571428,8.99375,3.091730454984898e-08,274.9999994331827,0.46279761904761907,0.13764843619334338,1.2857142857142858,8.63888888888889,6.801807000966775e-08,206.2030366332178,28.583333333333332,1247.533508893271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,dispatch,spring,7.0,81.77675687867772,7.976349886875358,0.39987417623702054,0.16502841861965015,0.3132525607790468,0.12896597875143734,0.8683244541798425,reactor capacity,4003,6873,5090.877469674436,2.498011081009584e-06,0.32487208635182324,2012403.2459634205,3111.4874248779925,250.32975410018116,4006.06627337117,2286.058564335042,-0.42935078744683713,55,0.10421889746227543,0.5210317460317461,0.09648548351888234,1.2857142857142858,9.725925925925926,8.244614546626394e-10,2.6266666614332337,0.5552579365079365,0.08316961362148002,1.1428571428571428,11.660416666666666,6.183460909969796e-09,95.81386954082986,0.5037698412698413,0.07771228989303645,1.0,12.090476190476192,3.091730454984898e-08,218.24999955015332,0.6233134920634921,0.23051735428945644,1.2857142857142858,11.635185185185186,6.801807000966775e-08,112.7862556106754,50.05,1240.8611151728144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
