site,pv_kwp,battery_kwh,season,weight,days,price,ch4_kg_per_day,lcom,curtail_frac,night_share,efc_per_day,soc_min,soc_max,limiting,bus_trips,bus_interventions,shed_kwh,unserved_kwh,utilisation,operating_margin_eur,capex_eur,capex_pv_eur,capex_battery_eur,capex_process_eur,wall_s,nmpc_used,nmpc_failed,nmpc_iterations,nmpc_solve_time_s,nmpc_predicted_shed_kWh,duty_contactor,duty_night_contactor,starts_contactor,uptime_h_contactor,offdraw_kW_contactor,idle_kWh_contactor,duty_calciner,duty_night_calciner,starts_calciner,uptime_h_calciner,offdraw_kW_calciner,idle_kWh_calciner,duty_electrolyser,duty_night_electrolyser,starts_electrolyser,uptime_h_electrolyser,offdraw_kW_electrolyser,idle_kWh_electrolyser,duty_sabatier,duty_night_sabatier,starts_sabatier,uptime_h_sabatier,offdraw_kW_sabatier,idle_kWh_sabatier,kiln_hot_h,kiln_T_max,edit_mean,edit_max,bind_bus_balance,bind_state_box,bind_battery.soc.lo,bind_battery.soc.hi,bind_solids.n_cao.lo,bind_solids.n_cao.hi,bind_solids.n_caco3.lo,bind_solids.n_caco3.hi,bind_calciner.temperature_K.lo,bind_calciner.temperature_K.hi,bind_electrolyser.temperature_K.lo,bind_electrolyser.temperature_K.hi,bind_gas.n_h2.lo,bind_gas.n_h2.hi,bind_gas.n_co2.lo,bind_gas.n_co2.hi,bind_water.mass_kg.lo,bind_water.mass_kg.hi,bind_sabatier.temperature_K.lo,bind_sabatier.temperature_K.hi,bind_band_ceiling,bind_rate_limit,cf_bus_deficit_W,cf_bus_deficit_W_frac,cf_gas.n_h2.hi,cf_gas.n_h2.hi_frac
Seville,700.0,500.0,summer,0.63,7.0,6.0,89.14773194916452,6.686699428220412,0.1344612817423697,0.28618523789284,0.3143302044664889,0.1000224105847078,0.9358413910068952,solar,708,2732,2753.184536232756,3.146379519712165e-06,0.3039507520743323,3676.6249043603066,1794903.2459634205,490000.0,125000.0,1179903.2459634205,1237.9717570999635,1.0,0.0,22.52380952380953,0.3191168075445891,1.034875519628345e-09,0.4854166666666666,0.1472966144517433,1.7142857142857142,6.795833333333333,8.244614546626393e-10,1.5399999968656917,0.8345238095238096,0.7518948964123294,3.571428571428572,5.608,6.183460909969796e-09,126.40410793422669,0.5843253968253969,0.0917129863567458,3.0,4.674603174603175,3.0917304549848985e-08,328.7499993223958,0.8447420634920635,0.7165234967155129,1.7142857142857142,11.826388888888888,6.801807000966775e-08,444.4050991454715,40.8,1252.3101808670092,0.0162230370330708,0.4665123446070164,0.1996281482426463,0.0110066521463547,0.0005177295797212,0.000360737020143,0.000194333338282,0.0005303983830953,0.0005303983830938,0.0001943333382813,0.0003202364006177,0.001065914501631,0.0008368079817437,0.0022737718769815,0.0002372993297803,0.0009167205036789,0.0007554189529104,0.0005652401246952,0.0002752226346259,0.0003037897286642,0.0006147018930745,0.0005135981753339,459.8192974994773,36.05388617829672,20323.60537682472,1.0,,
Seville,700.0,500.0,winter,0.37,7.0,6.0,39.57934698931107,15.06268982947404,0.18741254110884,0.3432990407461392,0.3319468357431837,0.0998842776385747,0.9255528248399716,solar,2390,4017,1952.7697665395203,0.0510256820923209,0.1630312305810224,1594.1530879723966,1794903.2459634205,490000.0,125000.0,1179903.2459634205,1432.7043851003982,1.0,0.0,21.637896825396822,0.48416100307146,8.870220209210468e-10,0.381845238095238,0.131961866532865,1.8571428571428568,4.934615384615385,8.244614546626393e-10,3.7333333311067207,0.5798611111111112,0.4900485030941629,2.142857142857143,6.4944444444444445,6.183460909969796e-09,111.12010172645743,0.3623015873015873,0.0100351229302558,1.7142857142857142,5.072222222222222,3.0917304549848985e-08,135.74999972019842,0.6240079365079365,0.4146178290684061,3.142857142857143,4.765151515151515,6.801807000966775e-08,552.1074784871107,21.366666666666667,1248.1351817657203,0.0139899574454032,0.481857683730919,0.2481157226746506,0.0097040034364506,0.000640417333911,0.0003580181321869,0.0002024857672706,0.0004839843656899,0.0004839843657403,0.0002024857672102,0.000414839383898,0.000676384411016,0.0011245092722799,0.0013859421137447,0.0002331954829901,0.0005977718796065,0.000962508801915,0.0002620462719545,0.00023240382314,0.0003379778156002,0.0007132779437429,0.0003917705045528,656.3192654690137,28.1781446155728,22878.556124416624,1.0,,
Seville,700.0,1500.0,summer,0.63,7.0,6.0,93.5062844939154,7.632860363854797,0.1148063625069616,0.3527283612743753,0.155285115322486,0.0999995833242539,0.6669970456100326,solar,332,2359,3115.7942537151325,2.640740907914581e-06,0.3150844508129107,3829.296816376421,2044903.2459634205,490000.0,375000.0,1179903.2459634205,1711.7106293002144,1.0,0.0,22.154761904761905,0.3735084123872516,1.0252649658688187e-09,0.4285714285714285,0.0649317837291561,1.0,10.285714285714286,8.244614546626393e-10,2.479999995023218,0.9134920634920636,0.8870641738251642,5.0,4.384761904761905,6.183460909969796e-09,73.85946867302225,0.5695436507936508,0.0730166750884285,3.0,4.556349206349206,3.0917304549848985e-08,284.2499994141172,0.9343253968253968,0.9019706922688226,2.0,11.211904761904762,6.801807000966775e-08,610.8873738475254,44.15,1251.0353458454122,0.0124531426817981,0.4370124218934576,0.0359202816276489,0.0101926742526575,0.0005376465341679,0.0002653583780006,0.00017922757972,0.0005112354094919,0.0005112354094839,0.0001792275797035,0.0002681980011448,0.0011266427934885,0.0007872350795085,0.0022507204141937,0.0002370960451634,0.0006223367285597,0.0008083949819233,0.0005080178177495,0.0002667138353091,0.0002856325551188,0.0004182193440043,0.0004295357659255,673.369541701655,46.35221493379439,18663.55885931648,1.0,,
Seville,700.0,1500.0,winter,0.37,7.0,6.0,39.4668699825184,18.032534224427096,0.1594810877985549,0.3058063687698593,0.1358610501521854,0.0999501512903995,0.716745181646184,solar,1056,2601,1937.973325570446,0.2215555619985728,0.1745054928694275,1574.2225869957294,2044903.2459634205,490000.0,375000.0,1179903.2459634205,1162.8863544999622,1.0,0.0,20.88095238095238,0.3151064035699828,8.241848553954525e-10,0.3179563492063492,0.0439872888442883,1.5714285714285714,4.8560606060606055,8.244614546626393e-10,1.519999997193559,0.6282738095238095,0.597424318447901,2.142857142857143,7.036666666666666,6.183460909969796e-09,31.30095457732533,0.3639880952380952,0.0205720020070245,2.2857142857142856,3.821875,3.0917304549848985e-08,136.24999971916785,0.6663690476190476,0.4664659642080615,1.7142857142857142,9.329166666666667,6.801807000966775e-08,551.0048565128363,22.85,1249.8082479900802,0.0057147853004905,0.467608883617596,0.0363332763852608,0.0079068903658629,0.0005816529122907,0.0001546892406214,0.0001482164625004,0.0003837511833732,0.0003837511833732,0.0001482164625004,0.0003304476574986,0.000633912825274,0.0008384707011582,0.0012457390770747,0.0001885117055019,0.000555607456741,0.0008365115453334,0.0002135959319305,0.0001768134235338,0.0002700251317622,0.0005068732623233,0.0003101042030711,492.4318562789987,20.85689139480668,24404.48258484144,1.0,,
Seville,700.0,2500.0,summer,0.63,7.0,6.0,96.04037003413605,8.638096650992084,0.107525898759763,0.3389575337638609,0.1136847714310883,0.0999968055989221,0.6058677161347066,solar,279,2610,3325.43932036808,2.0252707045311053e-06,0.3211537029812703,3915.459354860622,2294903.2459634207,490000.0,625000.0,1179903.2459634205,1202.3044789000414,1.0,0.0,22.410714285714285,0.3235752945423998,1.031179085465133e-09,0.3928571428571428,0.0,1.0,9.428571428571429,8.244614546626393e-10,1.6266666633376976,0.91875,0.8701364325416877,3.142857142857143,7.015909090909091,6.183460909969796e-09,76.15625204812645,0.6127976190476191,0.1748357756442647,1.0,14.707142857142856,3.0917304549848985e-08,304.7499993718635,0.9252976190476192,0.8782213239009601,0.8571428571428571,25.90833333333333,6.801807000966775e-08,612.5467458903221,45.833333333333336,1248.918546071146,0.01244040954455,0.4358213360231766,0.0150009198254996,0.0102007551027055,0.0004901411221831,0.0002789151489437,0.0001807798767521,0.0005116879230655,0.000511687923044,0.0001807798767685,0.0002693340545936,0.001161179821576,0.0007618145073168,0.002279566149325,0.000250122235095,0.0006885110137687,0.0007127808700395,0.0005016813835927,0.0002735747539891,0.0002873895689538,0.000426453103874,0.0004343557698234,673.2067034669602,48.41220697431662,18731.752435582694,1.0,,
Seville,700.0,2500.0,winter,0.37,7.0,6.0,44.637080537137074,18.501941908873107,0.1509333368608,0.3797702894860014,0.0890647087598778,0.0999808589386836,0.6384383309824586,solar,1388,2950,2184.3256649345376,0.0345006590229102,0.1796178495236371,1783.83639243382,2294903.2459634207,490000.0,625000.0,1179903.2459634205,1188.7279846002348,1.0,0.0,21.387896825396822,0.3212481425554928,8.818475326032755e-10,0.464484126984127,0.2545576183308246,1.2857142857142858,8.670370370370371,8.244614546626393e-10,6.1733333212369566,0.7354166666666667,0.6564642916875731,3.4285714285714284,5.147916666666666,6.183460909969796e-09,56.48670545074645,0.3672619047619048,0.0155544405418966,1.8571428571428568,4.746153846153846,3.0917304549848985e-08,115.74999976142152,0.7174603174603175,0.5746780398059876,2.142857142857143,8.035555555555556,6.801807000966775e-08,586.9967481431021,23.683333333333334,1249.7645373164812,0.0033333886328444,0.4411522226516838,0.0153495175865524,0.0088617467136042,0.0006366842886583,0.0001910226023932,0.0001613271884308,0.0004368201306762,0.0004368201306781,0.0001613271884325,0.0003546435052081,0.0006786012429531,0.0009059175966173,0.0013019577067996,0.0001836212884269,0.0005851651426879,0.0012491011386978,0.000236550367652,0.0001910235863896,0.0002851455013014,0.0005295271495594,0.0003364909580411,832.113330247809,26.059972698625696,23764.446099199464,1.0,,
Seville,1100.0,500.0,summer,0.63,7.0,6.0,114.72737484967396,6.053697706365795,0.3135699351384595,0.3013918431233127,0.6576908154702948,0.0999994443894519,0.9205763510316172,solar,588,5425,3226.0784699572914,5.532439809082727e-07,0.3753382660218567,4682.00923855842,2074903.2459634205,770000.0,125000.0,1179903.2459634205,555.34710289957,1.0,0.0,23.580357142857142,0.3178565968331577,1.813117359254047e-09,0.3809523809523809,0.0,1.0,9.142857142857142,8.244614546626393e-10,1.599999996702154,0.8940476190476191,0.8557352198079838,4.428571428571429,4.84516129032258,6.183460909969796e-09,76.4212803176784,0.9479166666666666,0.94188984335523,4.571428571428571,4.9765625,3.0917304549848985e-08,1163.499997601848,0.927281746031746,0.8974229408792319,1.0,22.254761904761903,6.801807000966775e-08,334.51157046270765,49.93333333333333,1265.180257971679,0.0226570071482674,0.8399553281547854,0.28992595968812,0.0140161980153454,0.0006557704784885,0.0005230919113812,0.0001902075964883,0.0007961404677169,0.0007961404677016,0.0001902075965026,0.0003284006697777,0.0014584575168209,0.0011619960062575,0.0028786720436523,0.0006808749134948,0.0003913969739487,0.0004683059187213,0.0012770731817731,0.0003099703959425,0.0003237140857776,0.0008098713879063,0.0007759064029928,360.6573969306984,31.80972820407996,23560.89096510204,1.0,,
Seville,1100.0,500.0,winter,0.37,7.0,6.0,61.64081905138702,11.210877277431422,0.2409955690605962,0.3877608071343932,0.5456629069581862,0.0999239791809887,0.8735246030721818,solar,1918,4725,2436.172823643266,0.051070794887548,0.2395647507753759,2476.936248045828,2074903.2459634205,770000.0,125000.0,1179903.2459634205,801.5287969000638,1.0,0.0,22.57936507936508,0.3211695504123493,1.4903134519170327e-09,0.4573412698412698,0.2002007024586051,1.7142857142857142,6.402777777777778,8.244614546626393e-10,4.14666665881568,0.7284722222222222,0.6036126442548921,3.857142857142857,4.532716049382716,6.183460909969796e-09,118.50568374078637,0.5596230158730159,0.3090817862518816,2.142857142857143,6.267777777777778,3.0917304549848985e-08,509.2499989503577,0.6425595238095239,0.4669677203545743,1.8571428571428568,8.303846153846154,6.801807000966775e-08,163.7656357608744,32.35,1262.518020045869,0.0240297061298317,0.9340100674699556,0.3985516146090157,0.0127205385043748,0.0006551720933396,0.0003836338209413,0.0001764154125707,0.0005153186721461,0.000515318672147,0.0001764154125755,0.000321168293153,0.0011168237162824,0.0013161562107401,0.0019884184552197,0.0002162547632177,0.0013200480329273,0.0008689549939699,0.0007985232370288,0.000231765937529,0.0003013394825235,0.0011238219301202,0.0006949893679422,247.72177841428424,26.84216424860791,26032.287164968384,1.0,,
Seville,1100.0,1500.0,summer,0.63,7.0,6.0,137.73905316114366,6.162261014731093,0.1931284180856088,0.3494988547128921,0.7128735862586005,0.099997360982757,0.9376515983689738,solar,0,1637,3316.252138127938,1.3099953595750928e-06,0.437035119699363,5355.502571825154,2324903.2459634207,770000.0,375000.0,1179903.2459634205,562.5141094997525,1.0,0.0,23.080357142857142,0.335630146632274,1.8121051948111982e-09,0.5416666666666666,0.2076806467913087,0.8571428571428571,15.166666666666666,8.244614546626393e-10,8.639999982191632,0.988095238095238,0.9696816574027286,0.1428571428571428,166.0,6.183460909969796e-09,65.76072430073644,0.9642857142857144,0.9221829206670036,0.1428571428571428,162.0,3.0917304549848985e-08,229.99999952593475,1.0,1.0,0.1428571428571428,168.0,0.0,235.28971095466005,62.516666666666666,1266.8855819459916,0.0144549168783933,0.8356790547142537,0.0704790939246679,0.0167381720903758,0.0004767039907104,0.0004673471405461,0.0001837918779194,0.0016757278642085,0.0016757278642107,0.0001837918779116,0.0002798579373937,0.0024957599198487,0.0006873572831855,0.0032906527892092,0.0008289572644679,0.0002364579613616,0.0005817515892209,0.0020514794259739,0.0003599990506921,0.0003345713344168,0.0004034141693853,0.0005248227497127,521.3086393204491,44.71568126684481,22077.58130677788,1.0,,
Seville,1100.0,1500.0,winter,0.37,7.0,6.0,70.55796829404757,11.717339239097369,0.1538136144461548,0.4373155617350658,0.4475687531679755,0.0999456637841239,0.8805426238331203,solar,1417,3944,2603.7093239768865,1.225353407003619e-07,0.2667501984878671,2693.608665124392,2324903.2459634207,770000.0,375000.0,1179903.2459634205,1024.1767746997066,1.0,0.0,22.50992063492064,0.316204027095828,1.5379434160039882e-09,0.5906746031746032,0.3478842615822043,1.2857142857142858,11.025925925925923,8.244614546626393e-10,5.439999989676123,0.7999007936507937,0.6934269944806823,1.5714285714285714,12.216666666666669,6.183460909969796e-09,63.62052475044071,0.6439484126984127,0.4281652450242516,1.1428571428571428,13.522916666666667,3.0917304549848985e-08,321.74999933682386,0.7973214285714286,0.7079779227295534,1.2857142857142858,14.883333333333333,6.801807000966775e-08,634.0482955339763,41.31666666666667,1262.9753296308277,0.0113974740009202,0.6707555036068843,0.078891073220367,0.0131405296983497,0.000676212248933,0.0004006582131215,0.0001723692086366,0.0004879795245803,0.0004879795246889,0.000172369208544,0.0003172089097261,0.0010227661008646,0.0015626144189821,0.0024444161954802,0.0002679544159688,0.0017801127663442,0.0011737276152213,0.0007629748765635,0.000242417522166,0.0002943076462473,0.0004894052334752,0.000385056068805,689.4918396603456,33.773397792599475,26902.80928666713,1.0,,
